6305,10D,0
6305,10C,826
6305,111,12
6305,104,16
6305,10E,4
6305,20,99,-7,2
6305,21,11151,11547,11525
6305,24,1250
6663,10D,0
6663,10C,834
6663,111,12
6663,104,16
6663,10E,3
6663,20,99,-7,2
6663,21,11138,11563,11543
6663,24,1254
7032,10D,0
7032,10C,819
7032,111,12
7032,104,16
7032,105,88
7032,20,99,-7,3
7032,21,11146,11552,11540
7032,24,1251
7392,10D,0
7392,10C,813
7392,111,12
7392,104,16
7392,10E,3
7392,20,99,-7,3
7392,21,11142,11552,11531
7392,24,1251
7752,10D,0
7752,10C,824
7752,111,12
7752,104,16
7752,10E,3
7752,20,99,-7,3
7752,21,11154,11556,11531
7752,24,1249
8112,10D,0
8112,10C,826
8112,111,12
8112,104,16
8112,10F,56
8112,20,103,-5,2
8112,21,11132,11391,11547
8112,24,1249
8477,10D,0
8477,10C,833
8477,111,12
8477,104,16
8477,10E,2
8477,20,99,-6,3
8477,21,11151,11543,11547
8477,24,1252
8842,10D,0
8842,10C,827
8842,111,12
8842,104,16
8842,10E,3
8842,20,99,-6,3
8842,21,11141,11547,11551
8842,24,1254
9202,10D,0
9202,10C,822
9202,111,12
9202,104,16
9202,20,99,-7,2
9202,21,11145,11563,11531
9202,24,1260
9492,10D,0
9492,10C,824
9492,111,12
9492,104,16
9492,10E,6
9492,20,99,-7,2
9492,21,11151,11567,11518
9492,24,1256
9852,10D,0
9852,10C,821
9852,111,12
9852,104,16
9852,10E,3
9852,20,99,-7,2
9852,21,11131,11541,11525
9852,24,1260
10212,10D,0
10212,10C,823
10212,111,13
10212,104,16
10212,105,87
10212,20,99,-8,2
10212,21,11137,11542,11535
10212,24,1258
10572,10D,0
10572,10C,820
10572,111,13
10572,104,16
10572,10E,4
10572,20,99,-7,3
10572,21,11149,11569,11542
10572,24,1262
10932,10D,0
10932,10C,822
10932,111,13
10932,104,17
10932,10E,3
10932,20,99,-6,3
10932,21,11151,11544,11560
10932,24,1261
11292,10D,0
11292,10C,832
11292,111,13
11292,104,17
11292,10F,56
11292,20,100,-6,2
11292,21,11154,11544,11544
11292,24,1261
11652,10D,0
11652,10C,820
11652,111,13
11652,104,17
11652,10E,2
11652,20,99,-6,3
11652,21,11150,11562,11536
11652,24,1259
12012,10D,0
12085,11,0
12085,10,20405780
12085,A,0.000000
12085,B,0.000000
12085,C,0.00
12085,D,0.00
12085,F,0
12085,10C,822
12085,111,13
12085,104,17
12085,10E,2
12085,20,99,-7,2
12085,21,11145,11558,11532
12085,24,1260
12372,10D,0
